3gpp|.3gp
x-rar-compressed|.rar
x-rgb|.rgb
x-setext|.etx
x-sgi-movie|.movie
x-sh|.sh
x-shar|.shar
x-shockwave-flash|.swf
x-silverlight-app|.xap
x-stuffit|.sit
x-stuffitx|.sitx
x-sv4cpio|.sv4cpio
x-sv4crc|.sv4crc
x-tar|.tar
x-tcl|.tcl
x-tex|.tex
x-tex-tfm|.tfm
x-texinfo|.texinfo
x-ustar|.ustar
x-uuencode|.uu
x-vcalendar|.vcs
x-vcard|.vcf
x-wais-source|.src
x-wav|.wav
x-x509-ca-cert|.der
x-xbitmap|.xbm
x-xfig|.fig
x-xpinstall|.xpi
x-xpixmap|.xpm
x-xwindowdump|.xwd
x-xyz|.xyz
xcap-diff+xml|.xdf
xenc+xml|.xenc
xhtml+xml|.xhtml
xml|.xml
xml-dtd|.dtd
xop+xml|.xop
xslt+xml|.xslt
xspf+xml|.xspf
xv+xml|.mxml
yaml|.yaml
yang|.yang
yin+xml|.yin
zip|.zip
